#  time MSD(time)
4.000000000000000083e-02 9.520840345191723397e-01
8.000000000000000167e-02 3.771182263940349610e+00
1.199999999999999956e-01 8.404532043868634617e+00
1.600000000000000033e-01 1.477781066957797584e+01
2.000000000000000111e-01 2.280321252866801629e+01
2.399999999999999911e-01 3.238460668636703588e+01
2.800000000000000266e-01 4.342287165396905380e+01
3.200000000000000067e-01 5.582021593461882958e+01
3.599999999999999867e-01 6.948338958959355693e+01
4.000000000000000222e-01 8.432602293695333628e+01
4.400000000000000022e-01 1.002702711775662294e+02
4.799999999999999822e-01 1.172477306841711595e+02
5.200000000000000178e-01 1.351999078012513280e+02
5.600000000000000533e-01 1.540781393023332555e+02
5.999999999999999778e-01 1.738427425748515986e+02
6.400000000000000133e-01 1.944620956323003895e+02
6.800000000000000488e-01 2.159110422367192257e+02
7.199999999999999734e-01 2.381687682581702461e+02
7.600000000000000089e-01 2.612167887177050716e+02
8.000000000000000444e-01 2.850369268531563876e+02
8.399999999999999689e-01 3.096095651457124518e+02
8.800000000000000044e-01 3.349122419014638581e+02
9.200000000000000400e-01 3.609188045590419165e+02
9.599999999999999645e-01 3.875988485924188467e+02
1.000000000000000000e+00 4.149177576176293201e+02
1.040000000000000036e+00 4.428370154428898218e+02
1.080000000000000071e+00 4.713149266041368151e+02
1.120000000000000107e+00 5.003072953708195882e+02
1.159999999999999920e+00 5.297683377214091252e+02
1.199999999999999956e+00 5.596514950059715829e+02
1.239999999999999991e+00 5.899100530689111110e+02
1.280000000000000027e+00 6.204977173009626767e+02
1.320000000000000062e+00 6.513687827705082327e+02
1.360000000000000098e+00 6.824786009414485761e+02
1.400000000000000133e+00 7.137836389243026360e+02
1.439999999999999947e+00 7.452411856473198668e+02
1.479999999999999982e+00 7.768092969014013534e+02
1.520000000000000018e+00 8.084467410153407627e+02
1.560000000000000053e+00 8.401124512743265313e+02
1.600000000000000089e+00 8.717653823997479776e+02
1.640000000000000124e+00 9.033640829042187761e+02
1.679999999999999938e+00 9.348661497000545069e+02
1.719999999999999973e+00 9.662280302371860898e+02
1.760000000000000009e+00 9.974048314350222881e+02
