#  time a*time**2)
4.000000000000000083e-02 9.427955659850874026e-01
8.000000000000000167e-02 3.771182263940349610e+00
1.199999999999999956e-01 8.485160093865784958e+00
1.600000000000000033e-01 1.508472905576139844e+01
2.000000000000000111e-01 2.356988914962718695e+01
2.399999999999999911e-01 3.394064037546313983e+01
2.800000000000000266e-01 4.619698273326928728e+01
3.200000000000000067e-01 6.033891622304559377e+01
3.599999999999999867e-01 7.636644084479206640e+01
4.000000000000000222e-01 9.427955659850874781e+01
4.400000000000000022e-01 1.140782634841955598e+02
4.799999999999999822e-01 1.357625615018525593e+02
5.200000000000000178e-01 1.593324506514797747e+02
5.600000000000000533e-01 1.847879309330771491e+02
5.999999999999999778e-01 2.121290023466446542e+02
6.400000000000000133e-01 2.413556648921823751e+02
6.800000000000000488e-01 2.724679185696903119e+02
7.199999999999999734e-01 3.054657633791682656e+02
7.600000000000000089e-01 3.403491993206165489e+02
8.000000000000000444e-01 3.771182263940349912e+02
8.399999999999999689e-01 4.157728445994234789e+02
8.800000000000000044e-01 4.563130539367822394e+02
9.200000000000000400e-01 4.987388544061112157e+02
9.599999999999999645e-01 5.430502460074102373e+02
1.000000000000000000e+00 5.892472287406795886e+02
1.040000000000000036e+00 6.373298026059190988e+02
1.080000000000000071e+00 6.872979676031287681e+02
1.120000000000000107e+00 7.391517237323085965e+02
1.159999999999999920e+00 7.928910709934583565e+02
1.199999999999999956e+00 8.485160093865786166e+02
1.239999999999999991e+00 9.060265389116690358e+02
1.280000000000000027e+00 9.654226595687295003e+02
1.320000000000000062e+00 1.026704371357760238e+03
1.360000000000000098e+00 1.089871674278761247e+03
1.400000000000000133e+00 1.154924568331732189e+03
1.439999999999999947e+00 1.221863053516673062e+03
1.479999999999999982e+00 1.290687129833584549e+03
1.520000000000000018e+00 1.361396797282466196e+03
1.560000000000000053e+00 1.433992055863318001e+03
1.600000000000000089e+00 1.508472905576139965e+03
1.640000000000000124e+00 1.584839346420932088e+03
1.679999999999999938e+00 1.663091378397693916e+03
1.719999999999999973e+00 1.743229001506426357e+03
1.760000000000000009e+00 1.825252215747128957e+03
1.800000000000000044e+00 1.909161021119801944e+03
1.840000000000000080e+00 1.994955417624444863e+03
1.880000000000000115e+00 2.082635405261058168e+03
1.919999999999999929e+00 2.172200984029640949e+03
1.959999999999999964e+00 2.263652153930194345e+03
2.000000000000000000e+00 2.356988914962718354e+03
2.040000000000000036e+00 2.452211267127212068e+03
2.080000000000000071e+00 2.549319210423676395e+03
2.120000000000000107e+00 2.648312744852110882e+03
2.160000000000000142e+00 2.749191870412515073e+03
2.200000000000000178e+00 2.851956587104889422e+03
2.240000000000000213e+00 2.956606894929234386e+03
2.280000000000000249e+00 3.063142793885549509e+03
2.319999999999999840e+00 3.171564283973833426e+03
2.359999999999999876e+00 3.281871365194088867e+03
2.399999999999999911e+00 3.394064037546314466e+03
2.439999999999999947e+00 3.508142301030509770e+03
2.479999999999999982e+00 3.624106155646676143e+03
2.520000000000000018e+00 3.741955601394811765e+03
2.560000000000000053e+00 3.861690638274918001e+03
2.600000000000000089e+00 3.983311266286994396e+03
2.640000000000000124e+00 4.106817485431040950e+03
2.680000000000000160e+00 4.232209295707058118e+03
2.720000000000000195e+00 4.359486697115044990e+03
2.760000000000000231e+00 4.488649689655001566e+03
2.800000000000000266e+00 4.619698273326928756e+03
2.839999999999999858e+00 4.752632448130825651e+03
2.879999999999999893e+00 4.887452214066692250e+03
2.919999999999999929e+00 5.024157571134529462e+03
2.959999999999999964e+00 5.162748519334338198e+03
3.000000000000000000e+00 5.303225058666116638e+03
3.040000000000000036e+00 5.445587189129864782e+03
3.080000000000000071e+00 5.589834910725582631e+03
3.120000000000000107e+00 5.735968223453272003e+03
3.160000000000000142e+00 5.883987127312931079e+03
3.200000000000000178e+00 6.033891622304559860e+03
3.240000000000000213e+00 6.185681708428159254e+03
3.280000000000000249e+00 6.339357385683728353e+03
3.320000000000000284e+00 6.494918654071267156e+03
3.359999999999999876e+00 6.652365513590775663e+03
3.399999999999999911e+00 6.811697964242255694e+03
3.439999999999999947e+00 6.972916006025705428e+03
3.479999999999999982e+00 7.136019638941126686e+03
3.520000000000000018e+00 7.301008862988515830e+03
3.560000000000000053e+00 7.467883678167877406e+03
3.600000000000000089e+00 7.636644084479207777e+03
3.640000000000000124e+00 7.807290081922508762e+03
3.680000000000000160e+00 7.979821670497779451e+03
3.720000000000000195e+00 8.154238850205021663e+03
3.760000000000000231e+00 8.330541621044232670e+03
3.800000000000000266e+00 8.508729983015413382e+03
3.839999999999999858e+00 8.688803936118563797e+03
3.879999999999999893e+00 8.870763480353685736e+03
3.919999999999999929e+00 9.054608615720777379e+03
3.959999999999999964e+00 9.240339342219840546e+03
4.000000000000000000e+00 9.427955659850873417e+03
4.040000000000000036e+00 9.617457568613875992e+03
4.080000000000000071e+00 9.808845068508848271e+03
4.120000000000000107e+00 1.000211815953579207e+04
4.160000000000000142e+00 1.019727684169470558e+04
4.200000000000000178e+00 1.039432111498558879e+04
4.240000000000000213e+00 1.059325097940844353e+04
4.280000000000000249e+00 1.079406643496326615e+04
4.320000000000000284e+00 1.099676748165006029e+04
4.360000000000000320e+00 1.120135411946882414e+04
4.400000000000000355e+00 1.140782634841955769e+04
4.440000000000000391e+00 1.161618416850226276e+04
4.480000000000000426e+00 1.182642757971693754e+04
4.520000000000000462e+00 1.203855658206358385e+04
4.560000000000000497e+00 1.225257117554219803e+04
4.600000000000000533e+00 1.246847136015278193e+04
4.639999999999999680e+00 1.268625713589533370e+04
4.679999999999999716e+00 1.290592850276985882e+04
4.719999999999999751e+00 1.312748546077635547e+04
4.759999999999999787e+00 1.335092800991482181e+04
4.799999999999999822e+00 1.357625615018525787e+04
