# norm(v) P(norm(v))
3.169616642244802995e-01 5.919485577508805906e-03
9.508849926734408431e-01 1.183108376584038508e-02
1.584808321122401553e+00 1.277757046710761499e-02
2.218731649571362041e+00 1.376743780884959537e-02
2.852654978020322751e+00 1.432744244043270693e-02
3.486578306469283461e+00 1.454040194821783379e-02
4.120501634918244172e+00 1.540012736853556795e-02
4.754424963367204882e+00 1.618886628625825982e-02
5.388348291816164704e+00 1.744296116543734079e-02
6.022271620265125414e+00 1.813705141303331020e-02
6.656194948714086124e+00 1.913086244936390221e-02
7.290118277163046834e+00 2.022720954499844515e-02
7.924041605612007544e+00 2.209257708541261314e-02
8.557964934060967366e+00 2.268018757911601652e-02
9.191888262509928964e+00 2.372526664509858399e-02
9.825811590958888786e+00 2.513316561323359136e-02
1.045973491940785038e+01 2.726276069108485994e-02
1.109365824785681021e+01 2.911235345314457448e-02
1.172758157630577180e+01 3.053997089422264694e-02
1.236150490475473163e+01 3.184927749764231847e-02
1.299542823320369145e+01 3.352929139239164968e-02
1.362935156165265305e+01 3.587973336720527706e-02
1.426327489010161287e+01 3.736650622711255171e-02
1.489719821855057447e+01 3.818679470154415223e-02
1.553112154699953429e+01 3.941722741319154955e-02
1.616504487544849411e+01 4.092371874604189275e-02
1.679896820389745571e+01 4.048202495211718210e-02
1.743289153234641731e+01 4.100653633240277512e-02
1.806681486079537535e+01 4.075808357332012799e-02
1.870073818924433695e+01 3.987863968005932180e-02
1.933466151769329855e+01 4.104991697287752039e-02
1.996858484614226015e+01 3.929891657553314516e-02
2.060250817459121819e+01 3.924370485129255459e-02
2.123643150304017979e+01 3.878623627901339743e-02
2.187035483148914139e+01 3.842341637686095407e-02
2.250427815993810299e+01 3.808031494765158620e-02
2.313820148838706103e+01 3.688537548730170396e-02
2.377212481683602263e+01 3.526846070597018656e-02
2.440604814528498423e+01 3.421943794539900746e-02
2.503997147373394228e+01 3.267745336125114225e-02
2.567389480218290387e+01 3.050842133751374002e-02
2.630781813063186547e+01 2.960925897130986875e-02
2.694174145908082707e+01 2.771234187418679384e-02
2.757566478752978512e+01 2.669486867032452165e-02
2.820958811597874671e+01 2.516865886453111337e-02
2.884351144442770831e+01 2.357540625073127269e-02
2.947743477287666636e+01 2.180074368585521727e-02
3.011135810132562796e+01 2.113820299496815477e-02
3.074528142977458955e+01 1.984072747531432507e-02
3.137920475822355115e+01 1.855508303942633719e-02
3.201312808667250920e+01 1.814493880221053693e-02
3.264705141512147435e+01 1.672520875030969120e-02
3.328097474357043239e+01 1.491110923954749867e-02
3.391489807201939044e+01 1.421701899195152927e-02
3.454882140046835559e+01 1.330996923657043300e-02
3.518274472891731364e+01 1.240686317577795010e-02
3.581666805736627168e+01 1.151953189333992066e-02
3.645059138581523683e+01 1.045867804900289973e-02
3.708451471426419488e+01 9.370218342545585249e-03
3.771843804271315292e+01 8.289646025265495766e-03
3.835236137116211808e+01 7.500907107542803889e-03
3.898628469961107612e+01 6.688506022288430962e-03
3.962020802806003417e+01 5.718357153489519139e-03
4.025413135650899932e+01 5.221451635324223135e-03
4.088805468495795736e+01 4.322289269120353598e-03
4.152197801340692251e+01 3.505944489277367307e-03
4.215590134185588056e+01 2.993264192757617414e-03
4.278982467030483861e+01 2.606782123073498204e-03
4.342374799875380376e+01 1.983678378072571084e-03
4.405767132720276180e+01 1.778606259464671170e-03
4.469159465565171985e+01 1.447335914021140356e-03
4.532551798410068500e+01 1.202826849527105718e-03
4.595944131254964304e+01 8.755001986721884857e-04
4.659336464099860109e+01 7.453582772479442221e-04
4.722728796944756624e+01 6.231037450009269032e-04
4.786121129789652429e+01 4.850744343994558032e-04
4.849513462634548233e+01 4.338064047474807705e-04
4.912905795479444748e+01 2.918333995573961438e-04
4.976298128324340553e+01 2.957770941460096162e-04
5.039690461169237068e+01 2.523964536712615283e-04
5.103082794014132872e+01 1.774662564876057697e-04
5.166475126859028677e+01 1.774662564876057697e-04
5.229867459703925192e+01 1.616914781331519344e-04
5.293259792548820997e+01 1.616914781331519344e-04
5.356652125393716801e+01 8.676128094949616223e-05
5.420044458238613316e+01 6.309911341781538209e-05
5.483436791083509121e+01 6.309911341781538209e-05
5.546829123928404925e+01 6.704280800642885448e-05
5.610221456773301441e+01 4.732433506336153995e-05
5.673613789618197245e+01 2.366216753168076998e-05
5.737006122463093760e+01 1.971847294306730775e-05
5.800398455307989565e+01 7.887389177226922761e-06
5.863790788152885369e+01 0.000000000000000000e+00
5.927183120997781884e+01 1.577477835445384552e-05
5.990575453842677689e+01 3.943694588613461380e-06
6.053967786687573494e+01 7.887389177226922761e-06
6.117360119532470009e+01 3.943694588613461380e-06
6.180752452377365813e+01 0.000000000000000000e+00
6.244144785222261618e+01 0.000000000000000000e+00
6.307537118067158133e+01 7.887389177226922761e-06
