# norm(v) P(norm(v))
3.598623333319351802e-01 5.637572516178544768e-03
1.079586999995805652e+00 1.008371719930148923e-02
1.799311666659675790e+00 1.119872692061591422e-02
2.519036333323546373e+00 1.143492835690682052e-02
3.238760999987416511e+00 1.228594823766082297e-02
3.958485666651287094e+00 1.256730583088969642e-02
4.678210333315157676e+00 1.375526011341160829e-02
5.397934999979027815e+00 1.437702565894208133e-02
6.117659666642897953e+00 1.539824951584688358e-02
6.837384333306768092e+00 1.603390926351211734e-02
7.557108999970639118e+00 1.747195918445969276e-02
8.276833666634509257e+00 1.864254571431315718e-02
8.996558333298379395e+00 1.997291556871634913e-02
9.716282999962249534e+00 2.147001584873665242e-02
1.043600766662611967e+01 2.207094009106498958e-02
1.115573233328998981e+01 2.355761971948422406e-02
1.187545699995386173e+01 2.519366202085211726e-02
1.259518166661773186e+01 2.719095357772375460e-02
1.331490633328160200e+01 2.811491801968523871e-02
1.403463099994547214e+01 2.907014441644993619e-02
1.475435566660934228e+01 3.038662006871837087e-02
1.547408033327321242e+01 3.177256673166060225e-02
1.619380499993708256e+01 3.317935469780496777e-02
1.691352966660095447e+01 3.292925905937930248e-02
1.763325433326482283e+01 3.389837965827875721e-02
1.835297899992869475e+01 3.504117778386270365e-02
1.907270366659256311e+01 3.519748755787874273e-02
1.979242833325643502e+01 3.497865387425628386e-02
2.051215299992030694e+01 3.613881975250867601e-02
2.123187766658417530e+01 3.575672919380280118e-02
2.195160233324804722e+01 3.602071903436322720e-02
2.267132699991191558e+01 3.573588789060066356e-02
2.339105166657578749e+01 3.532253537709157537e-02
2.411077633323965586e+01 3.487444735824558883e-02
2.483050099990352777e+01 3.325924636007983326e-02
2.555022566656739613e+01 3.254369495013973573e-02
2.626995033323126805e+01 3.221718119997289687e-02
2.698967499989513996e+01 3.043524977619002647e-02
2.770939966655900832e+01 2.969885706304778786e-02
2.842912433322288024e+01 2.817049482822427814e-02
2.914884899988674860e+01 2.689570178236011869e-02
2.986857366655062052e+01 2.590226632972483789e-02
3.058829833321448888e+01 2.469694429453447859e-02
3.130802299987836079e+01 2.340130994546818152e-02
3.202774766654223271e+01 2.288375091594840177e-02
3.274747233320610462e+01 2.173400568929707843e-02
3.346719699986996943e+01 2.042100358756233219e-02
3.418692166653384135e+01 1.956651015627464130e-02
3.490664633319771326e+01 1.794783560757519728e-02
3.562637099986158518e+01 1.727396680403937498e-02
3.634609566652544999e+01 1.639515851901585455e-02
3.706582033318932190e+01 1.527320169663404920e-02
3.778554499985319381e+01 1.427976624399876666e-02
3.850526966651706573e+01 1.274098335757418640e-02
3.922499433318093764e+01 1.169891819746724654e-02
3.994471899984480245e+01 1.041023094946832983e-02
4.066444366650867437e+01 9.461951653771014450e-03
4.138416833317254628e+01 8.013481081222368491e-03
4.210389299983641820e+01 6.891524258840563133e-03
4.282361766650028301e+01 6.415647835725060352e-03
4.354334233316415492e+01 4.779605534357164558e-03
4.426306699982802684e+01 4.724028725818127730e-03
4.498279166649189875e+01 3.866061743996747086e-03
4.570251633315577067e+01 3.442288578886591819e-03
4.642224099981963548e+01 2.764946224817080647e-03
4.714196566648350739e+01 2.494009283189276439e-03
4.786169033314737931e+01 2.104971623416018647e-03
4.858141499981125122e+01 1.653410054036344749e-03
4.930113966647512314e+01 1.392893764009609783e-03
5.002086433313898794e+01 1.104589069713356403e-03
5.074058899980285986e+01 8.510198807540009323e-04
5.146031366646673177e+01 7.746017690128254030e-04
5.218003833313060369e+01 5.696622875251271560e-04
5.289976299979446850e+01 5.522945348566782016e-04
5.361948766645834041e+01 4.828235241828821673e-04
5.433921233312221233e+01 4.133525135090861872e-04
5.505893699978608424e+01 2.987253458973227849e-04
5.577866166644995616e+01 2.848311437625635780e-04
5.649838633311382097e+01 2.639898405604247677e-04
5.721811099977769288e+01 1.424155718812817890e-04
5.793783566644156480e+01 2.500956384256656151e-04
5.865756033310543671e+01 1.424155718812817890e-04
5.937728499976930152e+01 1.042065160106939972e-04
6.009700966643317344e+01 1.007329654770041955e-04
6.081673433309704535e+01 1.007329654770041955e-04
6.153645899976091727e+01 8.336521280855520050e-05
6.225618366642478918e+01 7.641811174117559707e-05
6.297590833308865399e+01 5.557680853903680033e-05
6.369563299975252590e+01 3.126195480320820188e-05
6.441535766641639782e+01 2.431485373582859845e-05
6.513508233308026263e+01 3.126195480320820188e-05
6.585480699974414165e+01 3.126195480320820188e-05
6.657453166640800646e+01 1.042065160106940006e-05
6.729425633307188548e+01 6.947101067379600042e-06
6.801398099973575029e+01 6.947101067379600042e-06
6.873370566639961510e+01 3.473550533689800021e-06
6.945343033306349412e+01 3.473550533689800021e-06
7.017315499972735893e+01 0.000000000000000000e+00
7.089287966639122374e+01 0.000000000000000000e+00
7.161260433305510276e+01 3.473550533689800021e-06
