# angle P(angle)
3.926990816987241395e-02 0.000000000000000000e+00
1.178097245096172418e-01 2.897842491573628110e-02
1.963495408493620697e-01 1.630036401510165656e-01
2.748893571891068976e-01 3.078957647296979849e-01
3.534291735288517255e-01 7.172160166644728774e-01
4.319689898685965534e-01 9.852664471350335296e-01
5.105088062083413813e-01 1.083068631225643452e+00
5.890486225480862092e-01 1.162759299743918229e+00
6.675884388878310371e-01 1.231583058918791940e+00
7.461282552275758650e-01 1.253316877605594071e+00
8.246680715673206929e-01 1.213471543346456682e+00
9.032078879070655208e-01 9.526657191048302220e-01
9.817477042468103487e-01 6.556368637185333581e-01
1.060287520586555177e+00 6.013023170015278085e-01
1.138827336926300005e+00 3.513634021033024135e-01
1.217367153266044832e+00 3.078957647296979849e-01
1.295906969605789660e+00 2.644281273560935563e-01
1.374446785945534488e+00 2.282050962114232084e-01
1.452986602285279316e+00 1.847374588378187799e-01
1.531526418625024144e+00 1.666259432654836059e-01
1.610066234964768972e+00 1.086690934340110437e-01
1.688606051304513800e+00 8.331297163274180295e-02
1.767145867644258628e+00 8.693527474720884329e-02
1.845685683984003456e+00 9.055757786167586976e-02
1.924225500323748284e+00 7.244606228934069581e-02
2.002765316663492889e+00 6.882375917487366934e-02
2.081305133003238161e+00 6.520145606040662900e-02
2.159844949342982545e+00 3.984533425913738131e-02
2.238384765682727817e+00 3.622303114467034790e-02
2.316924582022472201e+00 1.811151557233517395e-02
2.395464398362217473e+00 2.535612180126924423e-02
2.474004214701961857e+00 4.346763737360442165e-02
2.552544031041707129e+00 2.897842491573628110e-02
2.631083847381451513e+00 3.984533425913738131e-02
2.709623663721196785e+00 3.260072803020331450e-02
2.788163480060941168e+00 1.448921245786814055e-02
2.866703296400686440e+00 7.244606228934070274e-03
2.945243112740430824e+00 1.086690934340110541e-02
3.023782929080176096e+00 0.000000000000000000e+00
3.102322745419920480e+00 0.000000000000000000e+00
