#Time_ID TotSimulTime simStepsBetweenFrames simTimeStep CPUTimeForFrame hostname
0 0.00000000 0 0.0 0.0 hostname
1 500.00000000 500000 0.00100000 0.13266740 Mac
2 1000.00000000 500000 0.00100000 0.13407525 Mac
3 1500.00000000 500000 0.00100000 0.13123650 Mac
4 2000.00000000 500000 0.00100000 0.13665740 Mac
5 2500.00000000 500000 0.00100000 0.12693962 Mac
6 3000.00000000 500000 0.00100000 0.12842940 Mac
7 3500.00000000 500000 0.00100000 0.13401898 Mac
8 4000.00000000 500000 0.00100000 0.13017578 Mac
9 4500.00000000 500000 0.00100000 0.13461828 Mac
10 5000.00000000 500000 0.00100000 0.14330690 Mac
11 5500.00000000 500000 0.00100000 0.14037470 Mac
12 6000.00000000 500000 0.00100000 0.13631350 Mac
13 6500.00000000 500000 0.00100000 0.12939408 Mac
14 7000.00000000 500000 0.00100000 0.12910732 Mac
15 7500.00000000 500000 0.00100000 0.13577705 Mac
16 8000.00000000 500000 0.00100000 0.13511360 Mac
17 8500.00000000 500000 0.00100000 0.12810248 Mac
18 9000.00000000 500000 0.00100000 0.12876885 Mac
19 9500.00000000 500000 0.00100000 0.13116748 Mac
20 10000.00000000 500000 0.00100000 0.13444443 Mac
21 10500.00000000 500000 0.00100000 0.12637985 Mac
22 11000.00000000 500000 0.00100000 0.12804543 Mac
23 11500.00000000 500000 0.00100000 0.13449487 Mac
24 12000.00000000 500000 0.00100000 0.13606108 Mac
25 12500.00000000 500000 0.00100000 0.13809170 Mac
26 13000.00000000 500000 0.00100000 0.13511867 Mac
27 13500.00000000 500000 0.00100000 0.13855337 Mac
28 14000.00000000 500000 0.00100000 0.13935382 Mac
29 14500.00000000 500000 0.00100000 0.12958647 Mac
30 15000.00000000 500000 0.00100000 0.12950275 Mac
31 15500.00000000 500000 0.00100000 0.13179628 Mac
32 16000.00000000 500000 0.00100000 0.13119402 Mac
33 16500.00000000 500000 0.00100000 0.13182845 Mac
34 17000.00000000 500000 0.00100000 0.13297198 Mac
35 17500.00000000 500000 0.00100000 0.12497335 Mac
