# x y vx vy theta radius
7.28891 8.9691458 0.3746423 0.31143531 0.90307717 0.5
20.223939 24.816021 0 0 1.764168 0.5
3.5296833 22.42416 9.9744232e-05 9.5228516e-05 3.951996 0.5
4.0206325 16.948625 3.2413432e-05 -0.00017703643 4.259518 0.5
0.98691057 10.645733 5.0457642e-05 -8.9290548e-05 1.882067 0.5
25.542871 18.362166 0 0 0.92276 0.5
23.05333 7.2967275 0 0 4.981497 0.5
17.143949 9.9533213 0 0 0.663689 0.5
2.7940526 12.606156 0.00014498704 -1.7472229e-05 4.599871 0.5
5.3706716 8.2842516 0.00014473091 -9.6663006e-06 3.315122 0.5
24.395912 18.25655 0 0 5.224588 0.5
20.751821 2.3805903 0 0 4.739779 0.5
21.366754 6.942636 0 0 0.624425 0.5
22.844431 21.080799 0 0 0.734434 0.5
24.059803 19.374864 0 0 4.989084 0.5
11.110408 27.122042 0 0 2.508867 0.5
19.660902 2.7433192 0 0 5.939565 0.5
2.5852468 18.790747 4.9098854e-05 -1.0143018e-05 0.028815 0.5
7.2657421 2.5264924 0 0 3.449449 0.5
11.413794 0.81654445 0 0 0.592282 0.5
3.8281671 20.939481 9.5612128e-05 3.69418e-05 6.045768 0.5
3.1977545 15.801485 -2.9324144e-05 -9.2759514e-05 0.890473 0.5
4.9584027 11.62698 -9.6489951e-05 -3.1357012e-05 2.353219 0.5
23.967496 21.32125 0 0 1.672869 0.5
0.75197751 11.744976 2.09722e-05 3.5388115e-05 4.21507 0.5
15.69948 1.7741363 0 0 0.4829 0.5
9.4244703 24.339849 0 0 6.274711 0.5
13.456471 1.7216927 0 0 1.301021 0.5
17.206753 0.94979335 0 0 3.538852 0.5
4.5587808 7.1366365 0.02706588 -0.032055968 1.72413 0.5
20.065005 25.965138 0 0 0.779811 0.5
6.1437855 23.690704 -3.9004546e-05 4.1219564e-05 1.209651 0.5
7.3718985 23.259888 0 0 5.377079 0.5
16.852073 26.051587 0 0 3.122843 0.5
5.1888965 17.094041 0 0 4.105439 0.5
3.934933 11.122828 3.2137569e-05 0.00011294219 2.246795 0.5
2.9583285 6.3487968 -0.03856267 0.047641334 3.468535 0.5
11.701644 16.289646 0 0 5.532293 0.5
2.6799925 13.725059 1.7443187e-05 2.0547923e-05 0.531572 0.5
4.9500687 18.992492 0.00011663981 1.3018116e-05 5.261584 0.5
24.206191 5.2576446 0 0 0.040113 0.5
10.259857 15.452797 0 0 4.576591 0.5
8.4156235 22.724798 4.4083012e-05 2.7771348e-05 0.209824 0.5
17.74257 20.143763 0 0 1.770879 0.5
24.97944 8.3119634 0 0 4.791815 0.5
25.556257 7.1409535 0 0 2.522673 0.5
24.610851 20.392157 0 0 3.232151 0.5
4.9609184 20.929896 0.00010377553 2.6311533e-06 0.943125 0.5
9.3682923 20.909079 6.629486e-05 -3.582338e-05 1.031271 0.5
1.3132954 9.5689429 8.5550264e-05 -0.00010498115 1.523797 0.5
18.12986 24.537963 0 0 1.787492 0.5
4.1736517 8.2212075 -0.020618667 -0.043350716 3.056837 0.5
3.3151474 17.934247 6.9546395e-05 -3.5134963e-05 3.332967 0.5
6.3713169 17.138389 0 0 3.889918 0.5
13.573756 27.236416 0 0 1.775857 0.5
24.406641 9.278035 0 0 4.33857 0.5
0.5628731 13.987857 -3.475964e-06 -1.4754096e-05 2.652322 0.5
21.313873 9.4198053 0 0 1.360759 0.5
13.867399 0.67633754 0 0 1.350476 0.5
3.4650665 7.3593143 0.055027292 -0.0026337447 3.139709 0.5
14.98921 0.59769644 0 0 3.877928 0.5
7.0586346 24.341402 7.859908e-05 5.5918195e-05 4.111005 0.5
20.269361 23.679808 0 0 4.354529 0.5
2.3332899 7.3642275 -0.020815394 0.032270787 1.958136 0.5
26.535065 9.1938386 0 0 1.935129 0.5
8.3797296 21.443871 6.5424305e-06 2.5060744e-05 0.983243 0.5
2.862077 21.517367 -2.2020036e-05 -6.749373e-05 4.524452 0.5
14.36387 2.7893444 0 0 4.628506 0.5
5.8168703 10.783645 0.00030727383 8.4265198e-05 4.619789 0.5
3.860685 12.254259 0.00010855813 3.5090724e-05 6.246698 0.5
5.4756356 4.9312794 0.052200891 0.031848342 2.597917 0.5
18.616922 3.1560193 0 0 5.540445 0.5
1.7195723 13.123824 9.4246568e-05 0.00016893035 1.135786 0.5
4.3424585 19.94057 0.00010497818 7.6807679e-05 0.649744 0.5
2.8992264 16.891635 8.4054611e-05 -6.0150153e-06 4.647872 0.5
9.247559 1.4331276 0 0 3.116928 0.5
20.046777 7.3922231 0 0 1.058365 0.5
4.4360497 17.993254 -1.6500454e-05 -0.00011432346 1.223223 0.5
6.1470121 3.1896392 0.0062175 -0.043870574 6.185729 0.5
4.3835152 4.613571 -0.0046463175 -0.0055689758 5.03693 0.5
7.5879106 19.323077 4.1019755e-05 -6.9540942e-07 0.158334 0.5
1.8523154 11.992741 -5.3859982e-05 -7.9215103e-05 0.09489 0.5
23.072762 18.744514 0 0 3.182579 0.5
5.7939614 9.5254079 -0.0035946694 0.039791141 5.999337 0.5
20.764323 20.502432 0 0 0.712677 0.5
19.636303 13.451406 0 0 1.70588 0.5
2.1029012 17.683231 0.00014084807 -3.0560183e-05 5.092516 0.5
