#Time_ID TotSimulTime simStepsBetweenFrames simTimeStep CPUTimeForFrame hostname
0 0.00000000 0 0.0 0.0 hostname
1 1000.00000000 1000000 0.00100000 0.24119775 Mac
2 2000.00000000 1000000 0.00100000 0.25099242 Mac
3 3000.00000000 1000000 0.00100000 0.23103300 Mac
4 4000.00000000 1000000 0.00100000 0.24097488 Mac
5 5000.00000000 1000000 0.00100000 0.24438277 Mac
6 6000.00000000 1000000 0.00100000 0.22995568 Mac
7 7000.00000000 1000000 0.00100000 0.22492030 Mac
8 8000.00000000 1000000 0.00100000 0.22561275 Mac
9 9000.00000000 1000000 0.00100000 0.22476545 Mac
10 10000.00000000 1000000 0.00100000 0.23655827 Mac
11 11000.00000000 1000000 0.00100000 0.23775177 Mac
12 12000.00000000 1000000 0.00100000 0.24447003 Mac
13 13000.00000000 1000000 0.00100000 0.24460390 Mac
14 14000.00000000 1000000 0.00100000 0.24983722 Mac
15 15000.00000000 1000000 0.00100000 0.26974460 Mac
16 16000.00000000 1000000 0.00100000 0.25222037 Mac
17 17000.00000000 1000000 0.00100000 0.24606988 Mac
18 18000.00000000 1000000 0.00100000 0.24761572 Mac
19 19000.00000000 1000000 0.00100000 0.24857060 Mac
20 20000.00000000 1000000 0.00100000 0.24044028 Mac
21 21000.00000000 1000000 0.00100000 0.24420838 Mac
22 22000.00000000 1000000 0.00100000 0.24466785 Mac
23 23000.00000000 1000000 0.00100000 0.24709737 Mac
24 24000.00000000 1000000 0.00100000 0.24922178 Mac
25 25000.00000000 1000000 0.00100000 0.24686692 Mac
26 26000.00000000 1000000 0.00100000 0.24380893 Mac
27 27000.00000000 1000000 0.00100000 0.24526418 Mac
28 28000.00000000 1000000 0.00100000 0.24621097 Mac
29 29000.00000000 1000000 0.00100000 0.24292950 Mac
30 30000.00000000 1000000 0.00100000 0.24237630 Mac
31 31000.00000000 1000000 0.00100000 0.24933840 Mac
32 32000.00000000 1000000 0.00100000 0.24456832 Mac
33 33000.00000000 1000000 0.00100000 0.24405857 Mac
34 34000.00000000 1000000 0.00100000 0.24394428 Mac
35 35000.00000000 1000000 0.00100000 0.24098768 Mac
36 36000.00000000 1000000 0.00100000 0.24355897 Mac
37 37000.00000000 1000000 0.00100000 0.24742077 Mac
38 38000.00000000 1000000 0.00100000 0.24814540 Mac
39 39000.00000000 1000000 0.00100000 0.25005317 Mac
40 40000.00000000 1000000 0.00100000 0.24138427 Mac
41 41000.00000000 1000000 0.00100000 0.24567287 Mac
42 42000.00000000 1000000 0.00100000 0.23804757 Mac
43 43000.00000000 1000000 0.00100000 0.23599447 Mac
44 44000.00000000 1000000 0.00100000 0.24076493 Mac
45 45000.00000000 1000000 0.00100000 0.26304163 Mac
46 46000.00000000 1000000 0.00100000 0.24111938 Mac
47 47000.00000000 1000000 0.00100000 0.24691088 Mac
