# x y vx vy theta radius
19.59748 10.358013 0.18812641 0.31306226 6.1317095 0.5
17.717326 5.3259137 3.5298641e-09 8.4239993e-09 1.764168 0.5
9.5454839 26.669565 0 0 3.951996 0.5
25.151795 15.667295 -3.688819e-06 -2.6262822e-06 4.259518 0.5
19.731405 26.155247 6.7542183e-08 -3.8154674e-08 1.882067 0.5
23.303793 9.5847991 -7.8623944e-06 -1.8576724e-05 0.92276 0.5
17.037613 2.0112221 -1.2590585e-09 4.2415173e-09 4.981497 0.5
16.503514 5.730066 -7.5562365e-09 4.7539409e-09 0.663689 0.5
14.115899 3.4015115 2.0575158e-10 1.2417306e-09 4.599871 0.5
23.722914 17.27126 1.4244327e-07 1.2863404e-06 3.315122 0.5
17.534185 26.955155 0 0 5.224588 0.5
17.339375 4.2589934 -1.859573e-09 1.1802324e-09 4.739779 0.5
27.435698 14.280332 1.7413675e-06 -1.679542e-07 0.624425 0.5
21.906429 24.864549 -2.4512514e-08 -1.1632574e-08 0.734434 0.5
11.326488 24.763927 0 0 4.989084 0.5
24.010565 11.714539 6.3437743e-07 -1.4829805e-05 2.508867 0.5
23.482734 7.9161083 -4.9704231e-08 -6.8887536e-08 5.939565 0.5
2.4390372 18.43859 0 0 0.028815 0.5
19.420842 3.9072749 1.000054e-09 7.9982067e-10 3.449449 0.5
24.357446 22.561269 -5.4180385e-08 8.6003114e-08 0.592282 0.5
1.0464362 11.673289 0 0 6.045768 0.5
18.32954 3.633319 1.7816678e-09 -1.0934097e-09 0.890473 0.5
5.7329468 4.9106816 0 0 2.353219 0.5
14.823492 1.6129083 -2.856789e-09 -1.7573867e-10 1.672869 0.5
18.913145 21.031312 -2.556247e-07 -3.7916999e-08 4.21507 0.5
22.122942 13.663692 -1.5649451e-06 4.35211e-07 0.4829 0.5
13.451406 16.071463 0 0 6.274711 0.5
6.4263298 3.6503774 -1.1302042e-12 2.3863534e-12 1.301021 0.5
22.506837 4.8685745 -2.2611818e-10 4.169105e-10 3.538852 0.5
3.9919254 9.4107671 0 0 1.72413 0.5
26.596955 18.680058 -9.7153563e-07 1.9014373e-06 0.779811 0.5
27.294936 12.041656 2.9373875e-06 4.0359506e-06 1.209651 0.5
24.201704 15.065535 3.528153e-06 -5.8109932e-06 5.377079 0.5
12.984243 24.171044 0 0 3.122843 0.5
8.2280166 26.129425 0 0 4.105439 0.5
5.2955933 6.9319224 0 0 2.246795 0.5
24.575822 9.8822405 8.3095822e-07 4.6013528e-07 3.468535 0.5
22.609669 17.42783 3.8853344e-06 -1.9814834e-06 5.532293 0.5
20.731287 23.200555 1.993163e-08 5.0773825e-08 0.531572 0.5
22.385899 7.4368608 1.0842068e-08 -4.9917569e-08 5.261584 0.5
21.804552 16.24016 5.8272578e-06 1.4211801e-06 0.040113 0.5
21.477286 17.314778 -1.2348034e-06 4.0723993e-06 4.576591 0.5
25.688585 10.11633 -3.4551496e-09 -6.8836412e-09 0.209824 0.5
24.032458 16.184023 1.8262162e-06 -1.0159764e-06 1.770879 0.5
27.412295 13.15808 -2.1877743e-08 2.5418784e-06 4.791815 0.5
